x_test,y_true,y_pred,correct
ngutang l< I-PER/>agi ajaefek gaya hidup sokan sesuain kmampuan penghasilan akhornya kjebak hutang hilang aset,4,4,true
< I-ORG/>republik < I-LOC/>indonesia aku tidak abis pikir saut sitomorang belain kadal gurun < I-PER/>anies aku saut sitomorang batak batak ngentooott,3,2,false
tipikal penjilat urusan dibawa politik pram< I-PER/>ono ala bicara integritas ketua kpk terindikasi kuat melanggar kode etikbahkan pidana pembocoran data diperkarakanmainan sampah buzzer penguasa,3,3,true
sibuk standar aqil baligh diajarkan < I-PER/>agama diabaikan konsep adolescence ala barat dipakai,4,4,true
saingan army emang anjing tae kemana p< I-PER/>agip< I-PER/>agi,1,1,true
benar anjing aku sampe ngeprint cokkkkk burek sekali pas google tetep aku print bodo,1,1,true
selamat p< I-PER/>agi anak anjing,1,1,true
gl kasihan udah sholat kelakuan ngaca < I-PER/>agama mu udah benar hatimu busuk lihat hiasan natal mengamuk lihat patung bunda maria mengamuk ngebom gereja smbl teriak allah maha surga nabi kamu tawarkan,4,4,true
cerdas kadal gurun otak taruh bol fanatik coba liyat postingan dokter nyinyirin presiden coba fer nyinyirin kinerja anis tahu kelebihan bayar uang rakyat kamu kerjanya nyinyir dokter tapi pesulap,2,2,true
konteks tidak lihat videonya tau pelecehan anak kejadian februari anak,1,4,false
this week is cover speedrun week im gon na finish lyrics for flame espr loveit record demo of if could be constellation imma do it all imma do it all,3,4,false
anjing amrik cuman meronrong hasil bumi < I-LOC/>indonesia,1,1,true
id kelakuan iblis bertopengksn < I-PER/>agama,2,2,true
ayo move on aku gakuat tinn aku cium bodo,4,4,true
aku terlambat anjing,1,1,true
bodoh,1,1,true
lttd border px solid baru msodataplacementsamecellgt,4,4,true
bicara negara as warganya super majemuk warna kulitnya braysis salah contoh top rasis cina poster star wars karakter kulit ireng gambarnya dikecilin cina,4,4,true
capres imigran < I-LOC/>yaman merubah ulama buzzer,3,3,true
ambang batas parlemen disepakati uu pemilu waspada provokasi negatif terkait presiden< I-PER/>tial threshold,3,3,true
pas ketemu reonya speechless dalem hatinya teriak woi inimah ekspektasi aku anjing anak sekali putih bersih kinclong cakep sayu adem ganteng wangi reo ngereog dalem hatinya,1,1,true
pemahamanmu < I-PER/>agama membuatmu lupa kemanusiaan salah dirimu betapa bodohnya,4,4,true
aku udah bayar anjing yakali aku disuruh nunggu pasar bodoh bodoh,1,1,true
media pemberitaan bukti kadal gurun buzzer memfitnah manusia,2,2,true
ayo bermain situs slot online terlengkap terpercaya seasia superkaya pilihan permainan,4,4,true
mbaksri < I-LOC/>sumbar < I-LOC/>sumbar dibiarkan pelanggaran ham berat penistaan nilai kemanusiaan < I-LOC/>indonesia bukan negara < I-PER/>agama alasan apapun main hakim sndiri aplgi mlecehkan scara seksual murni tindak pidana wajib proses hukum,4,4,true
bukti fandom kamu nyebarin rame udah fandom kamu jijik bodoh say goodbye to fav mu mo military stream flop musicnya,1,1,true
lung lawan palsu kadal gurun,2,2,true
peraya haknya terpenuhi lakukan demo terselubung,3,3,true
< I-LOC/>indonesia mah demokrasi akal akalan aslinya komunis alias pemerintahan kritik anak bangsa kasih saran kemajuan giliran anak bangsa coba saran dll eh anggap penghinaan cakeuuupppp,4,4,true
asli rakyat buta sekali anjing proyek sadar dikata sudah jatuh lubang,1,1,true
polisi moral moral main hakim masuk ranah pidana penganiayaan pelecehan mohon,4,4,true
rajanya bohong wan got junjungan kadal gurun,2,2,true
aspirasi pastiikut demo,3,3,true
wanita gila sama wanita bodoh beda tipis,1,1,true
